fov,max_fiber_density,max_fiber_alignment_score,max_fiber_major_axis_length,max_fiber_minor_axis_length,max_fiber_orientation,max_fiber_area,max_fiber_eccentricity,max_fiber_euler_number
TONIC_TMA13_R1C5,0.0102996826171875,3.2915871231424,75.41108565460424,22.48072700390287,0.8678577493216216,503.46153846153845,0.9823855295811252,1.0
TONIC_TMA16_R6C5,0.0179290771484375,2.4911106835549353,64.18609208104498,18.732324592932592,0.3890862564425256,442.6595744680851,0.9409464078641734,1.0
TONIC_TMA16_R6C6,0.019073486328125,2.4871190848168023,58.42474076724278,19.307749015688337,0.3719049248936286,512.2941176470588,0.965988865120254,1.0
TONIC_TMA16_R8C3,0.0118255615234375,2.957153686883377,62.11161824900201,20.202242712727344,0.3575528701644181,487.741935483871,0.974197851567326,1.0
TONIC_TMA22_R10C6,0.0148773193359375,5.094848769397463,83.55460133287976,24.446010220867713,0.5911363251054361,772.2,0.9629568080590708,1.0
TONIC_TMA22_R11C3,0.0152587890625,2.923916983867182,71.6279375550142,16.165659401136732,0.3605889930372542,512.09375,0.9763377645419612,1.0
TONIC_TMA4_R10C1,0.01678466796875,12.52728633718676,101.8203222322224,18.17925399736316,0.8350668119554727,823.0769230769231,0.9775251839595008,1.0
TONIC_TMA4_R10C4,0.01983642578125,6.940489036628714,84.23597546288521,14.598161338853265,0.9330131811449052,589.8947368421053,0.9764110693740446,1.0
TONIC_TMA4_R10C5,0.020599365234375,7.791768106195741,102.8465221863876,22.78710856791714,0.4904424438443756,972.1142857142858,0.970998630588104,1.0
TONIC_TMA4_R10C6,0.016021728515625,4.326592660289237,51.622201660970575,13.474344290679158,0.2878582031915176,376.77777777777777,0.9478961440968856,1.0
TONIC_TMA4_R9C6,0.019073486328125,6.269530748731336,127.3317659929632,34.149477026118724,0.1568569047682946,1141.421052631579,0.9736056292161728,1.0
